"predictor","beta.est","beta.se"
"(Intercept)",0.248334403152544,0.0275340246528873
"imp",0.000329339775231687,0.000821876497089688
"can",0.000489750639748889,0.000641796839974564
"imp:can",2.06652788258506e-05,1.28022064558938e-05
"I(imp^2)",-6.80032611601998e-06,7.25933884797652e-06
"I(can^2)",-6.04812990504488e-07,3.97749700242289e-06
