"predictor","beta.est","beta.se"
"(Intercept)",-4.42637290818884,1.18470538103837
"imp",-0.060142772467394,0.0701334996508579
"can",0.00500861095670574,0.0174682117676627
"imp:can",-8.94185837016305e-06,0.000351864260446464
"I(imp^2)",0.000149893181844574,0.0006062918630378
"I(can^2)",9.35029384776742e-06,9.50631134744872e-05
