"predictor","beta.est","beta.se"
"(Intercept)",-1.27248774418484,0.508172100454544
"imp",0.0211799573350577,0.0140866624595151
"can",-0.0127968772737377,0.0118106073844393
"imp:can",2.84061618547595e-06,0.000114519076004353
"I(imp^2)",6.37386135438792e-06,9.41211100869354e-05
"I(can^2)",4.32876379803847e-05,8.07535444840625e-05
