"predictor","beta.est","beta.se"
"(Intercept)",-4.41123330974588,1.12008702584125
"imp",-0.000761372473873904,0.0288289191416549
"can",-0.00195080372081737,0.0169175344899732
"imp:can",-3.00845378999863e-05,0.000138443921376337
"I(imp^2)",-0.000140517847303838,0.000352753271729586
"I(can^2)",1.03160574677395e-05,9.6164772924148e-05
