"predictor","beta.est","beta.se"
"(Intercept)",-3.87786769337151,0.89376767841495
"imp",-0.0440284861334545,0.0407272817256627
"can",0.0013374735108234,0.0131891982489527
"imp:can",-6.81590573711994e-05,0.000186881378476203
"I(imp^2)",0.000117866605955469,0.00028540516650484
"I(can^2)",1.66250932976678e-05,7.34814482931982e-05
