"predictor","beta.est","beta.se"
"(Intercept)",0.0655278987283692,0.013334433926136
"imp",0.000365272248950762,0.000343909127489998
"can",-0.000372795699248293,0.000300428087617082
"imp:can",3.74391775113225e-07,3.0541651803311e-06
"I(imp^2)",6.26609415874069e-07,2.3749229562016e-06
"I(can^2)",-3.31830877160391e-07,1.67145125736218e-06
