SubsetSppID,AOU,CommonName,Route Expected,MeanN,logN,MeanLogN,AbundClass,Mass(g),logMass,66-04Trend,TrConf,NumRoutes2002,Brange_Area_km2,log_Brange_Area,Mean_Rel_Im,new_Im,Num_routes,migclass,migclass1,BiomeH,BiomeH_noMex,NumBiomes,OMI,Tol,1yr Prop,5yr Prop,10yr Prop,Foraging,Trophic Group,,,
24,3131,Rock Dove,799,10.945720012,1.0392443349,0.7090960296,High,369,2.5670263662,-0.4,Y,1050,12682549.1566231,7.1032065543,0.18728,0.18304,940,resid,resid,3.0996695021,2.701015175,40,0.3276131898,0.9741534507,0.479,0.688,0.771,ground glean,granivore,,0.81272,0.81696
25,3160,Mourning Dove,802,29.182521708,1.4651228173,1.2333337381,High,123,2.0899051114,-0.4,Y,2301,11119866.0363908,7.0460995552,0.58965,0.58044,2080,short,migrant,2.7686139027,2.5776634283,38,0.6844212955,1.4917158154,0.938,0.969,0.976,ground glean,granivore,,0.41035,0.41956
27,3190,White-winged Dove,29,20.222724868,1.3058396733,0.6155462653,High,153,2.1846914308,1.4,B,89,1246992.77987435,6.0958639389,0.37397,0.3572,77,short,migrant,2.5819752978,2.2958344031,26,14.178899021,0.9775613722,0.586,0.69,0.724,ground glean,granivore,,0.62603,0.6428
28,3200,Common Ground-Dove,73,4.8700843017,0.687536479,0.4561286589,Med,30,1.4771212547,-1.1,Y,129,5828511.01263706,6.7655576214,0.41177,0.44723,77,resid,resid,3.3575709745,2.3908074736,26,9.453513421,0.1978880607,0.548,0.726,0.753,ground glean,granivore,,0.58823,0.55277
29,3210,Inca Dove,38,3.7929336735,0.5789752483,0.3398196091,Low,48,1.6812412374,2.8,Y,62,2933386.81912267,6.4673693362,0.28208,0.34579,46,resid,resid,3.094427519,2.4093409767,27,7.5225161291,0.2531620273,0.316,0.553,0.605,ground glean,granivore,,0.71792,0.65421
32,3850,Greater Roadrunner,79,1.9303447011,0.2856348678,0.1584610893,Low,376,2.5751878449,0.8,Y,99,2932531.91531,6.4672427473,0.67094,0.60233,49,resid,resid,2.747695381,2.6415596322,31,6.0856182121,0.8793962994,0.405,0.582,0.684,ground glean,insectivore,,0.32906,0.39767
34,3870,Yellow-billed Cuckoo,526,4.8937589304,0.6896425719,0.4858876337,Med,64,1.806179974,-1.7,Y,869,5271675.61695322,6.7219486789,0.58417,0.58294,703,neotrop,migrant,2.0811484267,1.8194897898,27,3.1785310193,0.8516833591,0.546,0.768,0.838,foliage glean,insectivore,,0.41583,0.41706
35,3880,Black-billed Cuckoo,505,1.8734880294,0.2726509225,0.1602419853,Low,51,1.7075701761,-1.5,Y,204,4935972.17042508,6.6933727024,0.53562,0.50481,83,neotrop,migrant,1.1581325671,1.1581325671,13,1.5186151493,0.4909911416,0.156,0.394,0.539,foliage glean,insectivore,,0.46438,0.49519
37,3930,Hairy Woodpecker,776,1.6940363666,0.2289227293,0.1482510494,Low,66.25,1.8211858826,4.4,Y,771,13263247.0533823,7.1226498593,0.49957,0.51088,335,resid,resid,2.5650367926,2.464467262,42,0.3585547654,0.9192255075,0.314,0.625,0.714,bark glean,insectivore,,0.50043,0.48912
38,3940,Downy Woodpecker,801,2.6494905453,0.4231623741,0.3009691419,Low,27,1.4313637642,0,B,1298,12767509.3954103,7.1061061861,0.56447,0.57142,795,resid,resid,2.3970395248,2.3970395248,41,1.1869202577,1.5035569215,0.588,0.788,0.841,bark glean,insectivore,,0.43553,0.42858
