alpha,latin,common,nest_min,nest_max,nest_mean,nest_se,nest_n,nest_ref,nest_type,nest_loc,nest_note,summer_flock,broods,Inc_period_min,Inc_period_max,Nestling_period_min,Nestling_period_max,Clutch_min,Clutch_max,Brood_min,Brood_max,
piwo,Dryocopus pileatus ,Piliated Woodpecker,5.5,19.2,12.24,NA,18,Campbell et al. 1997,cavity,Tree-trunk,Conner used because sites were from Virginia,N,single,15,18,24,28,3,5,1,1,
rbnu,Sitta canadensis ,Red-breasted Nuthatch,0.7,31.9,10.2,0.32,263,BNA,cavity,Tree-trunk,NA,N,single,12,13,18,21,2,8,1,1,
revi,Vireo olivaceus,Red-eyed Vireo,0.4,19,3.4,NA,NA,BNA,cup,Tree-branch,Mean is the average of the means found in 4 studies,N,single,11,15,10,12,1,5,1,2,
rsha,Buteo lineatus ,Red-shouldered Hawk,8.5,20.3,13.4,3,10,Titus and Mosher 1981,cup,Tree-branch,NA,N,single,32,40,42,49,2,5,1,1,
rthu,Archilochus colubris ,Ruby-throated Hummingbird,0.5,15,6,NA,NA,BNA,cup,Tree-branch,Mean is the average of the provided range of average heights,N,double,12,14,18,22,1,3,1,2,
rwbl,Agelaius phoeniceus ,Red-winged Blackbird,0.065,0.18,0.112,NA,228,Holcomb and Twiest 1968,cup,Shrub,NA,N,double,11,13,11,14,2,4,1,2,
scta,Piranga olivacea ,Scarlet Tanager,2.4,21,7.8,NA,17,Peck and James 1987,cup,Tree-branch,Study used because Maryland,N,single,12,14,9,15,3,5,1,1,
sosp,Melospiza melodia,Song Sparrow,0,4,0,NA,NA,BNA,cup,Ground,"Not really mean, mostly nests on ground",N,multiple,12,15,9,12,1,6,1,7,
tuti,Baeolophus bicolor ,Eastern Tufted Titmouse,6,20,12,NA,NA,Pielou 1957,cavity,Tree-trunk,Little info given on nest height,N,single,12,14,15,16,3,9,1,1,
wbnu,Sitta carolinensis ,White-breasted Nuthatch,5,20,7.2,3.1,9,Stauffer and Best 1082,cavity,Tree-trunk,nest height range from Bent 1948,N,single,13,14,26,26,5,9,1,1,
woth,Hylocichla mustelina ,Wood Thrush,0.6,22.3,4,3.6,NA,BNA,cup,Tree-branch,sample size not given,N,double,12,15,12,15,3,4,1,2,
ysfl,Colaptes auratus,Yellow-shafted Flicker,2.7,21.9,12.28,NA,22,Conner et al. 1975,cavity,Tree-trunk,Conner used because sites were from Virginia,N,single,,,,,,,,,
