"common","alpha","latin","nest_min","nest_max","nest_mean","nest_type","nest_loc","summer_flock","broods","Inc_period_min","Inc_period_max","Nestling_period_min","Nestling_period_max","Clutch_min","Clutch_max","Brood_min","Brood_max","Scientific","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.5Cat","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial","BodyMass.Value"
"House Finch","hofi","Haemorhous mexicanus ",1,20,4.78,"cup","tree","N","multiple",13,14,12,19,2,6,1,6,"Carpodacus mexicanus",10,0,0,0,0,30,0,30,30,"PlantSeed",33,33,33,0,0,21.4
"House Wren","howr","Troglodytes aedon ",NA,NA,9,"cavity","tree-nestbox","N","double",9,16,15,17,3,10,1,2,"Troglodytes aedon",80,0,0,0,0,0,0,0,20,"Invertebrate",0,100,0,0,0,10.85
"Indigo Bunting","inbu","Passerina cyanea ",0.3,1,0.65,"cup","shrub","N","double",11,14,8,14,3,4,1,3,"Passerina cyanea",0,0,0,0,0,0,0,100,0,"PlantSeed",40,40,20,0,0,14.69
"Mourning Dove","modo","Zenaida macroura ",0,24,1.5,"cup","generalist","Y","multiple",14,14,12,15,2,2,1,6,"Zenaida macroura",0,0,0,0,0,0,0,90,10,"PlantSeed",60,40,0,0,0,118.93
"Northern Cardinal","noca","Cardinalis cardinalis ",0.7,12,2.1,"cup","shrub-tree","N","multiple",11,13,7,13,2,5,1,2,"Cardinalis cardinalis",20,0,0,0,0,10,0,0,70,"PlantSeed",40,20,20,20,0,42.64
"Northern Mockingbird","nomo","Mimus polyglottos ",0.3,14.6,2.4,"cup","shrub-tree","N","multiple",12,13,12,13,2,6,2,3,"Mimus polyglottos",50,0,0,0,0,50,0,0,0,"Omnivore",70,30,0,0,0,48.5
"Northern Parula","nopa","Setophaga americana ",1.6,16.5,4.6,"cup","tree","N","single",12,14,10,11,2,7,1,2,"Parula americana",70,0,0,0,0,10,10,10,0,"Invertebrate",0,0,20,80,0,7.84
"Orchard Oriole","oror","Icterus spurius ",11,20,11.7,"cup","tree","N","double",12,14,14,14,4,6,1,2,"Icterus spurius",40,0,0,0,0,20,30,0,10,"Omnivore",30,50,20,0,0,19.44
"Ovenbird","oven","Seiurus aurocapilla ",0,0,0,"cup","ground","N","single",11,14,7,10,3,6,1,2,"Seiurus aurocapilla",70,0,10,0,0,10,0,10,0,"Invertebrate",80,20,0,0,0,18.8
"Piliated Woodpecker","piwo","Dryocopus pileatus ",5.5,19.2,12.24,"cavity","tree","N","single",15,18,24,28,3,5,1,1,"Dryocopus pileatus",70,0,0,0,0,20,0,10,0,"Invertebrate",20,30,30,20,0,286.59
"Red-breasted Nuthatch","rbnu","Sitta canadensis ",0.7,31.9,10.2,"cavity","tree","N","single",12,13,18,21,2,8,1,1,"Sitta canadensis",50,0,0,0,0,0,0,50,0,"Omnivore",0,33,33,33,0,9.8
"Red-bellied Woodpecker","rbwo","Melanerpes carolinus",2,18,7.6,"cavity","tree","N","double",12,12,24,27,2,6,1,3,"Melanerpes carolinus",30,10,10,0,0,0,20,10,20,"Omnivore",0,0,20,60,20,69.5
"Red-eyed Vireo","revi","Vireo olivaceus",0.4,19,3.4,"cup","tree","N","single",11,15,10,12,1,5,1,2,"Vireo olivaceus",60,0,0,0,0,20,0,20,0,"Invertebrate",0,0,20,80,0,16.06
"Red-shouldered Hawk","rsha","Buteo lineatus ",8.5,20.3,13.4,"cup","tree","N","single",32,40,42,49,2,5,1,1,"Buteo lineatus",20,40,40,0,0,0,0,0,0,"VertFishScav",33,33,33,0,0,603.72
"Ruby-throated Hummingbird","rthu","Archilochus colubris ",0.5,15,6,"cup","tree","N","double",12,14,18,22,1,3,1,2,"Archilochus colubris",40,0,0,0,0,0,60,0,0,"FruiNect",0,40,40,0,20,3.09
"Red-winged Blackbird","rwbl","Agelaius phoeniceus ",0.065,0.18,0.112,"cup","shrub","N","double",11,13,11,14,2,4,1,2,"Agelaius phoeniceus",50,0,0,0,0,0,0,50,0,"Omnivore",90,10,0,0,0,50.78
"Scarlet Tanager","scta","Piranga olivacea ",2.4,21,7.8,"cup","tree","N","single",12,14,9,15,3,5,1,1,"Piranga olivacea",80,0,0,0,0,10,0,0,10,"Invertebrate",10,10,40,40,0,28.2
"Song Sparrow","sosp","Melospiza melodia",0,4,0,"cup","ground","N","multiple",12,15,9,12,1,6,1,7,"Melospiza melodia",40,0,0,0,0,30,0,30,0,"Omnivore",70,30,0,0,0,21.91
"Eastern Tufted Titmouse","tuti","Baeolophus bicolor ",6,20,12,"cavity","tree","N","single",12,14,15,16,3,9,1,1,"Baeolophus bicolor",60,0,0,0,0,0,0,40,0,"Invertebrate",20,20,40,20,0,21.6
"White-breasted Nuthatch","wbnu","Sitta carolinensis ",5,20,7.2,"cavity","tree","N","single",13,14,26,26,5,9,1,1,"Sitta carolinensis",50,0,0,0,0,0,0,50,0,"Omnivore",0,33,33,33,0,21
"Wood Thrush","woth","Hylocichla mustelina ",0.6,22.3,4,"cup","tree","N","double",12,15,12,15,3,4,1,2,"Hylocichla mustelina",60,0,0,0,0,40,0,0,0,"Invertebrate",80,20,0,0,0,50.09
"Yellow-shafted Flicker","ysfl","Colaptes auratus",2.7,21.9,12.28,"cavity","tree","N","single",11,13,24,27,5,8,1,1,"Colaptes auratus",70,0,0,0,0,20,0,10,0,"Invertebrate",100,0,0,0,0,131.46
