"X1","X2","X3","X4","X5"
1,2,3,4,5
0.363,0.363,0.361,0.36,0.36
1564.61463851715,1565.51385767971,1565.84234122161,1566.58253657708,1566.90502085482
0,0.899219162560485,1.22770270445835,1.96789805993421,2.29038233767278
0.32,0.204,0.173,0.12,0.102
