"predictor","beta.est","beta.se"
"(Intercept)",-0.956860471473496,0.10784191691958
"imp",-0.00678381506514315,0.00439157553454763
"can",-0.00128881365853685,0.00336769892763459
"imp:can",0.000270694417424914,0.000104243096814001
"I(imp^2)",4.51500828080602e-05,4.17839558134742e-05
"I(can^2)",3.07980510907797e-05,2.53261860552702e-05
