"X1","X2","X3","X4","X5"
1,2,3,4,5
0.048,0.044,0.043,0.04,0.036
1418.63871276941,1420.27751341319,1420.61663780793,1422.02234119826,1426.33734008661
0,1.63880064377872,1.9779250385227,3.38362842885067,7.69862731720104
0.487,0.215,0.181,0.09,0.01
