"predictor","beta.est","beta.se"
"(Intercept)",-1.10636263390298,0.108954380234712
"imp",0.0173445357452278,0.00340753353408409
"can",-0.0106807719424805,0.00285926586329319
"imp:can",6.48174522413155e-05,5.26162186546836e-05
"I(imp^2)",1.13265495438898e-05,2.54011279926815e-05
"I(can^2)",9.86907532827189e-06,1.75995800894644e-05
