"predictor","beta.est","beta.se"
"(Intercept)",0.00184892353173001,0.000978413084372849
"imp",-3.6841022174534e-05,2.68897387271287e-05
"can",-5.743907993972e-06,2.1819396724149e-05
"imp:can",4.30335006674226e-08,2.55220285994815e-07
"I(imp^2)",1.44616556710192e-07,2.043692536491e-07
"I(can^2)",-1.26174408487134e-07,1.38209211424678e-07
