"predictor","beta.est","beta.se"
"(Intercept)",-6.06613937789506,2.66388837646859
"imp",-0.0320623826472241,0.0972264875559374
"can",0.0113481973268665,0.040333426700333
"imp:can",1.05683017684277e-05,0.000450856017632468
"I(imp^2)",4.58813838265516e-05,0.000986035848418589
"I(can^2)",-1.02649246864981e-05,0.000212439851884945
