"predictor","beta.est","beta.se"
"(Intercept)",0.142074952406284,0.0125291902558652
"imp",-0.00182455497632045,0.000481192314300755
"can",-4.55482241935194e-05,0.000205841095196279
"imp:can",-1.39533389580973e-06,2.95261295718427e-06
"I(imp^2)",2.72860687351092e-06,3.78534987961747e-06
"I(can^2)",6.90515263768628e-07,1.17518995886661e-06
