"predictor","beta.est","beta.se"
"(Intercept)",0.00127583266818524,0.000612087085577936
"imp",-4.57591059092034e-05,2.341714983274e-05
"can",-1.48701978787137e-05,1.29503096427507e-05
"imp:can",4.86080645162662e-07,3.03350231601681e-07
"I(imp^2)",3.81890387245168e-07,2.30445214559949e-07
"I(can^2)",5.68680885834019e-08,8.00374207321724e-08
