"site","can","imp"
"ANDRKENVA1",85.5755566924545,0.628735206108168
"ASSMCARMD1",84.1569834786443,1.58266588918633
"BAINANDMD1",26.9545940560928,21.4401363865668
"BALASUCMD1",65.4844914231223,14.8365922411122
"BARBJERMD1",38.0901967266546,14.5384633474753
"BARNDORMD1",61.8668146313637,13.9139363577706
"BAUGSHEVA1",90.8226517356954,0.579003930204866
"BEALTOMMD1",65.9687584522495,8.15765445273879
"BLANBETMD1",55.4566247342889,10.9265822758211
"BLOCDAVMD1",52.8612544488077,18.6143941765826
"BOONGREMD1",27.3674265026678,20.4886890661179
"BRENSTEMD1",46.6698652678807,7.32610860888281
"BRIGKIMMD1",6.77399858800624,47.5602788966842
"BROWANNDC1",0.0988211323991127,73.3039331860413
"BROWANNMD1",10.1726732527451,6.92170362227977
"BUISNORVA1",74.6320850149724,3.42173631846234
"BURDROBVA1",18.3225374807714,26.9589561352254
"BURNNANMD1",25.7946942963397,2.07957143463443
"CAMPGLOMD1",43.0205896148527,10.5168471384101
"CAMPLIBMD1",89.9091055590897,1.13212120161173
"CAMPROSMD1",68.9495016172568,6.69099945711978
"CANTBOBMD1",60.2002444311542,0.895279915409298
"CARLSHIMD1",36.9594028074149,19.1834772299002
"CAUSSUSMD1",31.4479790974378,0.305257837147148
"CLARCOLDC1",2.67941848590261,63.3381494198642
"CLARKELMD1",38.6268404754781,12.537572964646
"COLALISMD1",5.99834022821669,0
"COLSKATMD1",55.653381189384,14.0539367450066
"CONAGAIMD1",81.6810357896016,0
"CONNDAVMD1",51.7356589701005,9.15740084280143
"CORCLINMD2",44.8489688935852,15.0330731783352
"COULMARMD1",54.3916591239975,6.44701890848278
"CRONCHRVA1",57.90964597832,9.95956459849698
"CYRUALLMD1",66.8781606710955,8.39897407805846
"DALEELIMD1",46.9219791517916,0
"DANIBARMD2",48.0542673079783,16.70639300424
"DAVIALIVA1",55.2850270349419,9.43056229439166
"DAVIKELVA1",27.2599232761022,0.0264844120431523
"DECHKIMMD2",90.2071789247115,1.42697811182061
"DELUKARVA1",52.0268514661318,4.75824710314127
"DONOLORDC1",0,78.3485211534904
"EDEREDWVA1",45.8478395611419,11.2778455939228
"EGANMARMD1",25.8984621552337,29.2332476090858
"EGGELESVA1",36.604062685189,14.6317333243387
"EVANMICMD1",64.5661824020014,7.48205993966481
"FAGABERMD1",48.1245090715418,16.116243801165
"FARYSIMMD1",20.518435827608,37.246539240011
"FISHFERVA1",33.9608052238014,16.4133676545234
"FOOSDAVVA1",49.9337557538334,9.30789312413219
"FORCBREVA1",2.4555929779025,18.1648150347301
"FREYFREMD1",33.19018104797,3.62523235174964
"FUISLISDC1",3.50824492546474,59.8424307933581
"GAETHEAMD1",27.4507616133111,22.5467795018764
"GALLMONVA1",89.4883529667338,0.0811735889711589
"GALLTERMD1",87.3413377497902,0.056048045284657
"GARDVALMD1",59.542473106415,1.54911353752196
"GECACARVA1",27.4322986821157,26.2083662204033
"GELLHERMD1",50.0662047346937,13.7507191211598
"GERYERIMD1",21.482441621491,32.2251853047577
"GIESALYVA1",39.5965394450597,22.9808061132015
"GIRAANGMD1",53.4990591293632,15.4728407445863
"GOCHJOAMD1",17.4013469120967,0
"GOMEKARMD1",60.0947311276225,7.49432912278612
"GOROCARDC1",68.3483314701571,4.29288293126641
"GRIFBETDC1",71.9022097009403,2.78838588105148
"HALLDEBVA1",52.1446809106546,12.2463183165647
"HAMIMARMD1",62.7223305885445,0.255929279036061
"HAWNJANVA1",35.9483405622608,15.2908803480176
"HESSSETVA1",10.4669257642999,42.2123549780651
"HITCBJMD1",29.4277068813039,17.2124285924899
"HOROBONVA1",85.4743986691434,0
"HULLJEFVA1",40.9639414078642,15.487934935144
"HUNTDAVMD2",66.784991495917,6.97153979570111
"HUTCBARVA1",38.8640952615509,15.9297982536336
