"site","year","day","observer","temp","sky"
"OBRICHRMD1","2012",155,"amc",59,"0"
"OBRICHRMD1","2009",182,"ned",70,"0"
"ODELVINMD2","2009",163,"lap",68,"3"
"ODELVINMD2","2012",165,"amc",73,"3"
"ODELVINMD2","2009",163,"lap",64,"3"
"ODELVINMD2","2010",179,"bse",80,"0"
"OLONMARDC1","2009",183,"bse",68,"2"
"OLONMARDC1","2010",142,"jsm",60,"0"
"OLONMARDC1","2012",188,"jag",82,"0"
"OMLAKEVMD1","2009",172,"jld",70,"2"
"ONTAHOUDC1","2012",199,"kam",71,"0"
"ONTAHOUDC1","2010",202,"jsm",77,"0"
"ONTAHOUDC1","2009",178,"ckw",78,"3"
"OWENDORVA1","2012",185,"kam",75,"0"
"OWENDORVA1","2009",204,"ajr",66,"1"
"OWENDORVA1","2010",161,"jlw",66,"0"
"OWENJOHMD1","2009",182,"jld",68,"0"
"OWENJOHMD1","2010",161,"ckw",64,"0"
"PADORAMVA1","2010",183,"jlw",64,"0"
"PADORAMVA1","2012",147,"jag",70,"3"
"PADORAMVA1","2009",184,"ajr",68,"1"
"PATSNADMD1","2009",169,"lap",61,"3"
"PATTDAVMD1","2009",207,"jld",69,"0"
"PATTDAVMD1","2010",206,"ckw",84,"0"
"PERNMIKMD1","2010",173,"jsm",70,"0"
"PERNMIKMD1","2009",185,"lap",55,"2"
"PERNMIKMD1","2012",165,"kam",70,"1"
"PERRCHRMD1","2012",150,"amc",76,"0"
"PERRCHRMD1","2010",188,"ckw",83,"0"
"PHARAIMMD1","2009",176,"ned",70,"0"
"PHARAIMMD1","2012",161,"amc",70,"0"
"PHARAIMMD1","2010",167,"bse",70,"3"
"PHELCLADC1","2009",181,"jld",69,"0"
"PICKMARMD1","2009",188,"jld",74,"0"
"PICKMARMD1","2010",208,"jlw",66,"0"
"PIROELADC1","2009",208,"bse",73,"2"
"PIROELADC1","2012",195,"amc",73,"1"
"PIROELADC1","2010",203,"ckw",74,"1"
"RAUNERIMD1","2010",207,"ckw",71,"1"
"RCP_SMBDC1","2009",188,"ajr",69,"0"
"RCP_SMBDC1","2010",154,"bse",73,"0"
"RCP_SMBDC1","2012",208,"sc",75,"3"
"REIKROBMD1","2009",183,"lap",64,"2"
"REITBOBMD1","2010",187,"ckw",74,"0"
"REITBOBMD1","2012",193,"kam",73,"0"
"REUTSHAMD1","2009",182,"lap",71,"0"
"REUTSHAMD1","2012",161,"amc",62,"0"
"REUTSHAMD1","2010",197,"jsm",74,"1"
"ROHRSALMD1","2012",168,"kam",68,"0"
"ROHRSALMD1","2009",212,"ned",74,"2"
"ROHRSALMD1","2010",155,"ckw",71,"2"
"SALAJENMD1","2010",170,"ckw",69,"0"
"SALAJENMD1","2009",190,"ned",70,"0"
"SALAJENMD1","2012",164,"kam",68,"1"
"SALOSHEMD1","2009",173,"ned",70,"0"
"SALOSHEMD1","2010",160,"bse",59,"0"
"SALOSHEMD1","2012",153,"amc",69,"0"
"SANFCARMD1","2009",158,"lap",60,"1"
"SANFCARMD1","2010",160,"jsm",64,"4"
"SANFCARMD1","2012",152,"kam",69,"3"
"SARGMARMD1","2010",164,"ckw",70,"0"
"SARGMARMD1","2009",207,"bse",70,"0"
"SARGMARMD1","2012",153,"amc",68,"3"
"SCHILYDMD1","2009",185,"ajr",62,"2"
"SCHIMARMD1","2009",193,"ned",68,"1"
"SCHIMARMD1","2012",174,"kam",73,"0"
"SCHIMARMD1","2010",140,"jlw",54,"3"
"SCHLROBMD1","2012",193,"amc",72,"1"
"SCHLROBMD1","2010",194,"ckw",70,"2"
"SHAYSARMD1","2009",173,"bse",70,"0"
"SHEEM.AMD1","2009",203,"bse",71,"2"
"SHEEM.AMD1","2010",145,"jlw",63,"3"
"SILLSCOMD1","2009",196,"ajr",64,"0"
"SILLSCOMD1","2012",208,"amc",68,"0"
"SILLSCOMD1","2010",176,"jsm",79,"0"
"SINGDADMD1","2010",179,"jsm",79,"1"
"SINGDADMD1","2012",165,"kam",66,"4"
"SOLIAPRMD1","2009",166,"jld",70,"3"
"SOLIAPRMD1","2012",208,"kam",75,"0"
"SOLIAPRMD1","2010",185,"ckw",59,"0"
"SOLLCHRMD1","2009",164,"bse",73,"1"
"SOLLCHRMD1","2010",127,"ckw",60,"1"
"SOLLCHRMD1","2012",153,"kam",69,"3"
"SPEYPAUMD1","2009",147,"bse",59,"3"
"STANJEFMD1","2010",182,"bse",64,"0"
"STANJEFMD1","2012",145,"kam",65,"1"
"STEWBETMD1","2012",132,"multiple",55,"0"
"STEWBETMD1","2010",157,"jsm",74,"1"
"STORPATMD1","2009",190,"jld",65,"0"
"STUECHRVA1","2012",210,"kam",80,"0"
"STUECHRVA2","2010",157,"jlw",70,"1"
"STUECHRVA2","2009",205,"bse",70,"1"
"STURCARMD1","2010",152,"ckw",75,"1"
"STURCARMD1","2012",147,"amc",71,"1"
"STURCARMD1","2009",185,"ned",65,"3"
"SUBRSTEMD1","2012",130,"multiple",68,"2"
"SUBRSTEMD1","2010",146,"jsm",63,"0"
"SUBRSTEMD1","2009",160,"bse",70,"0"
"SULLPAUVA1","2009",181,"bse",71,"0"
"SULLPAUVA1","2012",161,"kam",70,"0"
"SULLPAUVA1","2010",190,"jlw",77,"0"
"TATEJUAMD1","2012",180,"amc",73,"0"
"TATEJUAMD1","2009",181,"ajr",68,"0"
"TAYLELEVA1","2009",154,"lap",71,"2"
"TAYLELEVA1","2010",167,"ckw",74,"2"
"THOMMARDC1","2010",125,"rr",75,"2"
"THOMMARDC1","2012",194,"amc",74,"2"
"THOMMARDC1","2009",198,"bse",76,"1"
"THOMSUSMD1","2009",160,"lap",68,"1"
"TINIKATMD1","2009",149,"bse",70,"3"
"TINIKATMD1","2010",189,"jlw",77,"1"
"TRAUPATVA1","2009",195,"bse",68,"1"
"UNGELAUDC1","2009",190,"ajr",66,"0"
"URBABETMD1","2009",176,"ajr",66,"1"
"VERSBETMD1","2009",184,"jld",71,"0"
"VERSBETMD1","2010",149,"jsm",65,"1"
"VERSBETMD1","2012",159,"kam",60,"0"
"VONGJENMD1","2009",175,"ned",70,"1"
"VONGJENMD1","2010",131,"jsm",45,"0"
"VONGJENMD1","2012",159,"amc",61,"1"
"VOSSCOLVA1","2009",193,"bse",69,"1"
"VOSSCOLVA1","2012",155,"kam",63,"0"
"VOSSCOLVA1","2010",196,"jlw",72,"3"
"WALKPATVA1","2009",194,"lap",70,"0"
"WAPLMILVA1","2010",205,"jlw",72,"1"
"WAPLMILVA1","2009",197,"lap",62,"0"
"WARDDOUVA1","2009",179,"bse",71,"1"
"WATSPATDC1","2009",197,"jld",74,"1"
"WATSPATDC1","2010",169,"ckw",73,"0"
"WHITLAUDC1","2009",189,"bse",70,"0"
"WHITLAUDC1","2010",160,"ckw",62,"0"
"WIEBFRAMD1","2009",196,"ned",66,"0"
"WIEBFRAMD1","2010",126,"multiple",70,"0"
"WIEBFRAMD1","2012",207,"amc",78,"0"
"WIKACORMD1","2009",142,"ajr",73,"0"
"WIKACORMD1","2010",217,"jlw",77,"1"
"WIKACORMD1","2012",213,"jag",79,"3"
"WILDANNVA1","2012",146,"kam",70,"0"
"WILDANNVA1","2010",158,"jlw",62,"0"
"WILDANNVA1","2009",184,"bse",69,"0"
"WILELINMD1","2009",167,"bse",68,"3"
"WILELINMD1","2012",189,"amc",80,"0"
"WILELINMD1","2010",163,"jlw",64,"0"
"WILLCYNVA1","2009",188,"lap",69,"0"
"WILLRAJMD1","2009",185,"jld",67,"2"
"WILLRAJMD1","2010",209,"jlw",73,"2"
"WILLRAJMD1","2012",171,"amc",70,"3"
"WILLTERMD1","2012",146,"amc",70,"2"
"WILLTERMD1","2009",195,"ned",66,"0"
"WILLTERMD1","2010",179,"ckw",84,"0"
"WILLTINVA1","2009",182,"ajr",60,"0"
"WILLTINVA1","2012",179,"kam",72,"0"
"WILLTINVA1","2010",181,"jlw",75,"2"
"WISECELMD1","2009",187,"lap",62,"0"
"WISECELMD1","2010",166,"bse",73,"2"
"WISECELMD1","2012",144,"multiple",65,"4"
"WOLFAMYDC1","2012",189,"kam",84,"0"
"WOLFAMYDC1","2009",202,"jld",74,"3"
"WOLFAMYDC1","2010",141,"ckw",58,"0"
"WOLFKARDC1","2010",208,"ckw",65,"1"
"WOLFKARDC1","2009",210,"ajr",77,"3"
"WOLFKARDC1","2012",219,"kam",80,"3"
"WOODELEVA1","2009",170,"bse",68,"0"
"WOODELEVA1","2010",188,"jsm",84,"2"
"WOODELEVA1","2012",147,"kam",72,"3"
"WOODPAUVA1","2012",153,"kam",67,"1"
"WOODPAUVA1","2010",182,"jsm",64,"2"
"WRIGVENMD1","2010",163,"jsm",66,"0"
"WRIGVENMD1","2009",167,"bse",70,"2"
"WRIGVENMD1","2012",207,"jag",75,"1"
"YOUNELIMD1","2009",183,"ajr",64,"2"
"YOUNELIMD1","2010",169,"jsm",70,"0"
"YOUNKIMVA1","2012",176,"kam",73,"0"
"YOUNKIMVA1","2009",207,"bse",70,"2"
"YOUNKIMVA1","2010",160,"jsm",58,"0"
"ZAMBTRAMD1","2010",132,"jsm",50,"1.5"
"ZAMBTRAMD1","2012",145,"jag",64,"1"
"BROWANNMD1","2010",176,"jsm",76.5,"1"
"RCP_EDZDC1","2009",202,"ajr",69,"2"
"ROTHPAUVA1","2009",213,"ned",71.5,"3"
"RUSSJODMD1","2009",205,"ned",71.5,"3"
"CAMPLIBMD1","2010",154,"ckw",70.625,"0"
"ROHRSALMD1","2010",155,"ckw",70.625,"2"
